procurement_id,order_date_key,product_id,supplier_id,order_quantity,unit_cost,lead_time_days,total_cost,delivery_date_key,quality_score,po_number
32,876,15,11,2984,165.85,12,494896.4,888,91.08,PO-2024-183285
33,239,11,14,2298,59.04,5,135673.92,244,95.83,PO-2025-717929
34,78,18,3,4938,57.24,18,282651.12,96,87.83,PO-2025-279543
35,880,5,5,3404,21.89,10,74513.56,890,92.15,PO-2025-980620
36,528,4,15,3242,18.23,15,59101.66,543,92.04,PO-2025-573137
37,674,2,6,370,123.27,28,45609.9,702,87.53,PO-2024-570364
38,1066,13,9,4850,109.73,15,532190.5,1081,86.8,PO-2025-533709
39,848,7,6,4663,99.13,15,462243.19,863,90.75,PO-2025-331212
40,764,17,3,3004,227.09,13,682178.36,777,86.97,PO-2025-367022
41,1061,12,13,4467,6.38,10,28499.46,1071,96.61,PO-2023-337030
42,519,13,12,2005,173.02,20,346905.1,539,95.59,PO-2024-666538
43,645,1,14,3614,240.61,25,869564.54,670,89.66,PO-2024-324662
44,278,12,13,1643,112.58,29,184968.94,307,92.56,PO-2025-669268
45,59,5,15,3165,151.75,14,480288.75,73,92.75,PO-2024-364491
46,888,7,15,3295,344.33,18,1134567.35,906,86.35,PO-2025-593146
47,198,20,8,4731,346.53,7,1639433.43,205,98.36,PO-2023-321320
48,808,14,15,3248,346.59,11,1125724.32,819,91.48,PO-2025-371610
49,804,15,3,2356,326.13,13,768362.28,817,88.97,PO-2024-553463
50,995,19,13,4427,326.69,27,1446256.63,1022,91.97,PO-2025-635141
51,398,3,5,2212,312.94,5,692223.28,403,91.38,PO-2025-809136
52,81,15,3,251,278.75,10,69966.25,91,95.54,PO-2024-356427
53,489,22,5,4790,51.91,24,248648.9,513,94.85,PO-2024-577827
54,343,17,4,3173,24.8,22,78690.4,365,98.75,PO-2025-498982
55,777,11,5,3216,254.29,17,817796.64,794,87.87,PO-2024-857119
56,337,1,7,3665,65.41,7,239727.65,344,94.5,PO-2024-143356
57,83,13,4,4359,127.67,10,556513.53,93,95.67,PO-2024-493255
58,975,4,4,3024,83.9,5,253713.6,980,97.4,PO-2024-869986
59,1067,20,10,4999,5.52,5,27594.48,1072,85.66,PO-2024-237318
60,665,22,6,4657,217.09,10,1010988.13,675,85.44,PO-2025-408368
61,759,14,1,4226,151.68,13,640999.68,772,92.01,PO-2024-674049
62,407,6,5,1319,281.63,14,371469.97,421,90.07,PO-2025-717429
63,22,13,4,1086,132.39,7,143775.54,29,92.12,PO-2025-471116
64,206,19,4,1051,323.59,9,340093.09,215,89.66,PO-2025-169402
65,789,5,15,1641,230.36,26,378020.76,815,87.82,PO-2024-834494
66,681,1,7,2989,203.44,25,608082.16,706,88.36,PO-2025-162544
67,535,2,3,4206,217.85,29,916277.1,564,93.19,PO-2023-219569
68,4,4,9,4237,7.0,5,29659.0,9,91.73,PO-2025-554502
69,783,11,3,4143,188.55,29,781162.65,812,91.28,PO-2025-523241
70,906,12,7,3424,15.23,11,52147.52,917,93.14,PO-2024-810549
71,825,18,10,4707,278.93,23,1312923.51,848,95.89,PO-2023-487322
72,192,14,1,4654,323.3,20,1504638.2,212,89.34,PO-2025-524806
73,645,12,13,2576,5.1,24,13137.6,669,92.13,PO-2023-655697
74,20,16,10,3728,212.26,9,791305.28,29,90.11,PO-2025-949766
75,668,8,4,4610,296.85,21,1368478.5,689,91.83,PO-2025-721162
76,535,15,10,330,7.53,8,2484.9,543,90.38,PO-2025-746535
77,302,4,4,1522,82.52,25,125595.44,327,93.72,PO-2023-447650
78,604,22,10,209,306.22,28,63999.98,632,86.0,PO-2024-851207
79,320,18,4,1572,181.06,5,284626.32,325,86.34,PO-2024-721961
80,758,4,2,4913,254.56,18,1250653.28,776,86.07,PO-2024-610573
81,809,2,6,4918,198.3,25,975239.4,834,89.08,PO-2024-863727
82,528,13,15,4055,45.98,9,186448.9,537,94.08,PO-2025-868080
83,257,14,5,3104,172.64,20,535874.56,277,92.84,PO-2023-130173
84,36,7,15,1294,313.76,6,406005.44,42,94.23,PO-2024-930672
85,971,11,3,429,136.45,12,58537.05,983,92.21,PO-2024-773505
86,903,1,3,2027,229.37,13,464932.99,916,87.51,PO-2023-682803
87,748,1,5,3451,207.46,28,715944.46,776,93.49,PO-2023-131724
88,970,6,2,4194,143.27,5,600874.38,975,96.39,PO-2025-903304
89,600,9,12,456,49.23,20,22448.88,620,97.47,PO-2024-711757
90,427,2,10,1996,160.0,20,319360.0,447,95.72,PO-2025-729103
91,902,3,3,1600,29.1,15,46560.0,917,97.94,PO-2025-158874
92,165,7,5,1164,253.74,18,295353.36,183,91.54,PO-2023-452909
93,259,20,8,3137,90.09,5,282612.33,264,88.02,PO-2025-225100
94,270,1,15,2487,71.19,14,177049.53,284,90.16,PO-2025-615497
95,466,7,11,3491,150.73,16,526198.43,482,87.49,PO-2024-237692
96,77,3,4,4544,136.04,21,618165.76,98,96.87,PO-2024-296937
97,712,11,11,861,114.04,23,98188.44,735,97.07,PO-2025-955209
98,207,9,6,2821,152.66,20,430653.86,227,97.26,PO-2025-828152
99,539,3,6,4773,43.66,15,208389.18,554,87.64,PO-2024-913836
100,1057,2,10,1900,28.43,24,54017.0,1081,90.04,PO-2025-469724
101,70,17,3,801,22.36,16,17910.36,86,89.19,PO-2024-489005
102,170,9,13,1697,312.37,25,530091.89,195,94.1,PO-2023-525522
103,915,22,6,3717,346.45,11,1287754.65,926,98.07,PO-2025-486994
104,336,7,8,1449,51.15,26,74116.35,362,94.15,PO-2025-450447
105,558,15,12,4853,57.72,24,280115.16,582,86.49,PO-2025-205401
106,1073,15,4,1610,233.71,14,376273.1,1087,96.4,PO-2024-784960
107,552,7,11,3934,44.83,21,176361.22,573,92.51,PO-2023-425559
108,922,12,8,2052,96.74,26,198510.48,948,97.25,PO-2023-592520
109,701,12,5,1537,24.59,24,37794.83,725,96.2,PO-2023-840679
110,946,16,14,3367,301.51,26,1015184.17,972,97.73,PO-2025-204301
111,292,18,8,2276,295.48,19,672512.48,311,98.11,PO-2024-771361
112,625,17,9,3790,311.66,20,1181191.4,645,97.59,PO-2023-534713
113,1037,4,13,2402,8.58,7,20609.16,1044,92.26,PO-2024-530880
114,293,5,14,4835,234.21,28,1132405.35,321,94.79,PO-2024-883911
115,969,18,14,3354,62.38,15,209222.52,984,96.89,PO-2024-215277
116,503,6,9,552,200.18,26,110499.36,529,88.98,PO-2024-752338
117,565,19,1,4673,340.72,5,1592184.56,570,90.76,PO-2024-728871
118,809,16,8,422,308.85,19,130334.7,828,97.32,PO-2025-727136
119,33,20,6,315,342.56,6,107906.4,39,93.59,PO-2024-387139
120,629,7,7,1055,267.43,13,282138.65,642,96.98,PO-2024-657268
121,483,18,12,1936,222.58,8,430914.88,491,92.58,PO-2023-792096
122,1028,19,11,3325,74.57,24,247945.25,1052,95.96,PO-2023-228566
123,129,6,3,2110,234.29,14,494351.9,143,86.32,PO-2025-359347
124,700,6,14,2499,296.29,5,740428.71,705,95.24,PO-2025-598470
125,560,12,13,557,327.98,23,182684.86,583,91.87,PO-2023-921339
126,980,13,15,231,280.28,9,64744.68,989,90.41,PO-2024-131838
127,1009,17,14,150,105.0,12,15750.0,1021,89.05,PO-2025-664858
128,203,21,14,4696,181.13,7,850586.48,210,95.25,PO-2025-794589
129,857,11,2,446,249.14,24,111116.44,881,87.49,PO-2025-562489
130,628,15,5,3017,328.53,25,991175.01,653,85.38,PO-2024-888202
131,887,3,13,3603,349.88,19,1260617.64,906,95.88,PO-2024-645317
132,75,14,11,589,64.12,5,37766.68,80,87.28,PO-2025-845057
133,57,9,14,4594,229.28,17,1053312.32,74,97.36,PO-2025-924334
134,621,8,2,258,59.57,17,15369.06,638,87.54,PO-2023-193005
135,960,7,15,1643,309.73,9,508886.39,969,85.06,PO-2024-334954
136,674,22,14,1925,156.8,20,301840.0,694,96.96,PO-2025-132272
137,1066,8,13,4675,98.05,15,458383.75,1081,93.67,PO-2025-606613
138,1075,8,10,1276,92.82,15,118438.32,1090,92.85,PO-2024-169813
139,5,16,15,1805,330.41,19,596390.05,24,87.46,PO-2023-529178
140,162,9,12,3542,195.09,8,691008.78,170,93.0,PO-2024-981774
141,495,11,11,3049,230.97,27,704227.53,522,93.84,PO-2024-947342
142,137,17,5,498,255.49,16,127234.02,153,89.67,PO-2024-313858
143,720,3,11,4495,31.01,13,139389.95,733,91.87,PO-2025-685949
144,337,14,12,2472,173.83,9,429707.76,346,96.37,PO-2023-546341
145,20,3,10,2578,61.72,24,159114.16,44,93.74,PO-2024-690479
146,248,4,4,2759,189.74,13,523492.66,261,89.36,PO-2023-171285
147,197,1,11,3464,182.37,12,631729.68,209,96.05,PO-2025-193060
148,552,9,4,645,182.82,16,117918.9,568,98.17,PO-2025-856851
149,651,16,13,2640,31.65,23,83556.0,674,97.17,PO-2025-736400
150,857,19,15,2368,315.19,22,746369.92,879,86.25,PO-2025-774696
151,921,12,13,3385,106.12,22,359216.2,943,85.47,PO-2024-823766
152,648,16,1,1372,180.4,11,247508.8,659,93.34,PO-2023-867708
153,840,14,6,636,66.64,11,42383.04,851,88.76,PO-2023-210212
154,146,20,12,3554,18.0,26,63972.0,172,93.26,PO-2024-487829
155,526,3,6,2792,140.52,25,392331.84,551,89.97,PO-2023-276013
156,950,10,2,2171,262.52,10,569930.92,960,97.24,PO-2024-685806
157,196,10,12,4348,234.16,28,1018127.68,224,88.7,PO-2023-474149
158,994,16,8,2900,343.0,11,994700.0,1005,86.36,PO-2024-717516
159,1008,3,3,3141,340.71,21,1070170.11,1029,86.18,PO-2025-709361
160,68,20,3,253,227.19,19,57479.07,87,92.83,PO-2024-602922
161,768,10,2,3707,106.36,9,394276.52,777,93.39,PO-2024-752568
162,405,15,7,3635,45.98,15,167137.3,420,88.49,PO-2025-537638
163,997,7,7,1142,289.78,29,330928.76,1026,86.32,PO-2025-871470
164,910,10,6,2084,44.75,10,93259.0,920,93.5,PO-2025-471882
165,834,2,15,2370,71.04,15,168364.8,849,95.71,PO-2025-699826
166,434,3,1,3471,199.01,7,690763.71,441,86.11,PO-2024-602894
167,999,19,8,3482,315.75,25,1099441.5,1024,97.87,PO-2025-545953
168,205,13,2,4670,99.15,14,463030.5,219,85.19,PO-2025-571565
169,461,12,3,4196,171.81,17,720914.76,478,97.41,PO-2024-671244
170,738,12,9,1522,230.09,22,350196.98,760,91.19,PO-2024-934770
171,284,8,4,669,144.54,15,96697.26,299,96.0,PO-2024-298318
172,824,4,2,683,186.94,23,127680.02,847,87.83,PO-2025-477400
173,453,16,9,1724,49.86,22,85958.64,475,94.88,PO-2025-400198
174,884,19,3,701,38.43,23,26939.43,907,97.64,PO-2024-343307
175,364,9,6,2097,333.4,13,699139.8,377,97.27,PO-2023-425342
176,166,15,3,4367,29.35,15,128171.45,181,96.27,PO-2024-195560
177,253,21,5,4476,288.02,28,1289177.52,281,85.63,PO-2025-360769
178,41,5,1,766,250.2,10,191653.2,51,88.28,PO-2025-248845
179,655,8,2,3570,99.84,6,356428.8,661,98.53,PO-2025-563144
180,924,9,1,3171,304.17,24,964523.07,948,95.39,PO-2024-927976
181,769,19,9,694,288.5,7,200219.0,776,94.2,PO-2025-709080
182,941,4,2,2776,125.36,19,347999.36,960,98.81,PO-2025-198101
183,1074,3,5,903,233.87,18,211184.61,1092,90.19,PO-2024-845745
184,366,3,7,381,147.46,11,56182.26,377,88.26,PO-2024-461419
185,803,21,2,2378,288.42,13,685862.76,816,90.27,PO-2025-252362
186,420,8,7,2014,296.38,6,596909.32,426,98.1,PO-2024-978095
187,907,2,14,252,103.68,15,26127.36,922,92.41,PO-2024-921144
188,129,5,12,4090,17.87,29,73088.3,158,91.1,PO-2024-177711
189,552,22,9,4331,213.13,5,923066.03,557,87.44,PO-2025-136203
190,797,11,11,4181,8.04,10,33615.24,807,97.68,PO-2025-263102
191,524,8,12,3680,344.89,28,1269195.2,552,89.02,PO-2024-112847
192,258,21,4,2760,65.95,7,182022.0,265,85.28,PO-2024-578204
193,509,5,4,2351,197.5,10,464322.5,519,98.63,PO-2024-570629
194,87,16,3,238,50.17,6,11940.46,93,96.12,PO-2023-481946
195,272,6,1,165,136.8,9,22572.0,281,93.45,PO-2023-372127
196,815,20,10,2050,321.94,12,659977.0,827,94.73,PO-2025-275759
197,902,10,15,499,12.57,7,6272.43,909,85.13,PO-2025-989252
198,512,15,4,738,8.88,13,6553.44,525,95.65,PO-2023-968243
199,1062,18,8,2699,210.56,20,568301.44,1082,85.16,PO-2023-623880
200,61,10,4,3471,296.07,23,1027658.97,84,90.34,PO-2025-488805
201,260,5,1,1425,32.72,14,46626.0,274,92.14,PO-2025-566295
202,330,7,15,1321,330.42,19,436484.82,349,95.12,PO-2023-310046
203,706,7,5,1840,271.85,20,500204.0,726,88.57,PO-2025-712402
204,909,18,2,3842,118.49,28,455238.58,937,86.95,PO-2025-864225
205,5,22,5,3724,207.96,12,774443.04,17,98.27,PO-2023-766833
206,457,1,4,1679,249.97,24,419699.63,481,89.19,PO-2024-960300
207,963,10,10,965,151.12,28,145830.8,991,97.95,PO-2025-970607
208,923,22,10,2116,80.34,27,169999.44,950,92.09,PO-2024-547646
209,393,10,14,1323,239.42,10,316752.66,403,89.86,PO-2024-587803
210,120,7,9,1351,196.1,29,264931.1,149,94.04,PO-2025-576103
211,636,22,1,530,8.13,29,4308.9,665,90.64,PO-2024-851243
212,667,17,13,4343,290.76,8,1262770.68,675,95.24,PO-2025-112309
213,679,3,2,1432,256.49,29,367293.68,708,97.65,PO-2025-509259
214,975,4,8,4542,25.74,27,116911.08,1002,96.79,PO-2025-667145
215,733,18,14,1505,103.42,18,155647.1,751,92.66,PO-2023-708659
216,394,3,2,4306,46.47,26,200099.82,420,90.1,PO-2025-399837
217,216,13,3,3875,301.84,27,1169630.0,243,98.36,PO-2024-119943
218,946,5,12,849,318.29,14,270228.21,960,98.05,PO-2023-273539
219,661,15,5,2657,256.46,11,681414.22,672,86.16,PO-2025-260806
220,177,19,13,2538,336.66,20,854443.08,197,92.67,PO-2024-845503
221,902,5,13,871,69.72,29,60726.12,931,85.8,PO-2024-623230
222,843,4,2,4884,299.48,11,1462660.32,854,96.7,PO-2023-482988
223,588,11,9,2262,45.71,18,103396.02,606,85.24,PO-2024-314350
224,672,5,4,3632,32.5,5,118040.0,677,90.27,PO-2024-959175
225,194,2,4,3298,236.0,25,778328.0,219,97.59,PO-2024-275934
226,292,14,3,1602,207.56,23,332511.12,315,94.47,PO-2025-334868
227,644,14,5,3917,71.12,9,278577.04,653,92.69,PO-2025-636054
228,943,13,15,833,189.82,11,158120.06,954,94.5,PO-2025-392820
229,859,11,9,1857,107.78,28,200147.46,887,85.55,PO-2024-697897
230,498,16,15,2364,56.05,13,132502.2,511,97.19,PO-2025-735908
231,551,10,1,2595,155.21,13,402769.95,564,97.55,PO-2024-341604
232,414,12,3,4269,318.66,12,1360359.54,426,85.53,PO-2025-157661
233,961,15,6,524,138.32,17,72479.68,978,97.56,PO-2024-326497
234,351,5,9,4975,274.22,5,1364244.5,356,95.38,PO-2024-112716
235,632,10,11,2503,317.67,19,795128.01,651,85.85,PO-2025-171740
236,823,16,3,694,102.72,29,71287.68,852,89.54,PO-2024-886382
237,428,5,4,596,121.69,21,72527.24,449,90.05,PO-2023-690720
238,444,6,2,3356,284.35,26,954278.6,470,96.66,PO-2024-212475
239,443,1,5,3019,9.0,15,27171.0,458,86.1,PO-2025-908614
240,963,15,12,2234,338.59,21,756410.06,984,89.31,PO-2025-332136
241,931,7,12,1694,336.02,9,569217.88,940,86.77,PO-2025-159442
242,1035,8,11,4035,99.15,16,400070.25,1051,89.49,PO-2025-254167
243,386,6,4,1729,12.28,8,21232.12,394,93.72,PO-2025-204140
244,462,7,8,730,104.84,27,76533.2,489,96.46,PO-2025-310708
245,1000,3,12,3286,296.41,22,974003.26,1022,91.83,PO-2024-398812
246,206,14,15,2231,101.47,25,226379.57,231,93.84,PO-2023-761830
247,111,12,8,1288,68.31,23,87983.28,134,86.14,PO-2024-349361
248,841,6,9,1085,123.37,21,133856.45,862,96.09,PO-2024-341494
249,378,2,5,3189,336.24,16,1072269.36,394,97.58,PO-2025-645126
250,19,12,6,2978,156.47,23,465967.66,42,95.97,PO-2025-525238
251,106,6,5,3181,347.71,7,1106065.51,113,93.55,PO-2024-585197
252,350,10,9,3166,118.47,15,375076.02,365,89.92,PO-2025-799744
253,1048,8,15,935,255.99,22,239350.65,1070,98.82,PO-2023-383350
254,844,4,13,3795,226.75,13,860516.25,857,85.44,PO-2025-898664
255,930,8,8,4280,49.34,20,211175.2,950,97.11,PO-2025-172922
256,943,7,8,4403,330.38,9,1454663.14,952,96.83,PO-2025-202065
257,1077,18,15,1741,87.8,9,152859.8,1086,88.1,PO-2024-798010
258,541,8,14,106,270.2,21,28641.2,562,97.69,PO-2024-472359
259,235,19,13,4103,97.8,15,401273.4,250,86.0,PO-2025-899846
260,427,2,12,2063,92.69,10,191219.47,437,92.66,PO-2023-962264
261,298,13,9,2370,40.2,12,95274.0,310,89.85,PO-2025-116776
262,869,19,2,4739,97.64,15,462715.96,884,90.11,PO-2025-595848
263,849,20,10,617,318.3,20,196391.1,869,96.69,PO-2025-791958
264,944,6,1,2794,137.65,25,384594.1,969,94.61,PO-2025-199008
265,650,7,2,4322,31.65,11,136791.3,661,86.67,PO-2025-686921
266,397,17,13,1773,261.91,8,464366.43,405,88.76,PO-2025-294206
267,222,17,13,4999,347.41,19,1736702.59,241,88.53,PO-2023-974135
268,542,1,15,569,147.69,7,84035.61,549,91.2,PO-2024-828847
269,18,18,5,3555,256.86,13,913137.3,31,94.97,PO-2023-892909
270,815,5,1,3246,67.75,14,219916.5,829,86.41,PO-2024-743720
271,815,14,8,3505,252.69,6,885678.45,821,87.2,PO-2023-369305
272,236,14,12,2395,331.77,20,794589.15,256,92.8,PO-2024-497973
273,907,14,9,1601,94.64,18,151518.64,925,98.11,PO-2024-216336
274,252,6,12,3909,165.38,18,646470.42,270,91.25,PO-2025-353428
275,201,2,4,4388,265.75,5,1166111.0,206,94.54,PO-2025-428508
276,55,4,9,184,94.65,22,17415.6,77,85.35,PO-2024-910011
277,971,22,6,2257,248.62,13,561135.34,984,89.43,PO-2025-359210
278,818,21,3,904,347.37,11,314022.48,829,97.32,PO-2024-180763
279,819,5,11,4358,324.01,29,1412035.58,848,90.12,PO-2025-263218
280,340,17,5,1172,273.13,17,320108.36,357,95.95,PO-2023-806113
281,610,22,5,538,123.65,12,66523.7,622,96.63,PO-2025-528382
282,669,17,9,2680,83.32,26,223297.6,695,93.49,PO-2025-982585
283,770,8,5,742,18.09,10,13422.78,780,93.16,PO-2023-838324
284,15,16,7,2817,293.76,6,827521.92,21,93.91,PO-2023-672816
285,954,13,7,2815,250.96,20,706452.4,974,98.73,PO-2025-836494
286,79,12,6,498,214.34,7,106741.32,86,93.83,PO-2024-464711
287,379,7,13,4433,9.74,11,43177.42,390,94.21,PO-2023-410594
288,388,16,2,4587,99.79,22,457736.73,410,85.17,PO-2023-369980
289,6,15,1,2040,187.87,26,383254.8,32,87.85,PO-2024-314388
290,233,17,6,3699,302.1,16,1117467.9,249,85.73,PO-2025-642557
291,60,11,9,4230,219.36,22,927892.8,82,90.26,PO-2025-493121
292,180,3,13,572,36.0,12,20592.0,192,98.86,PO-2024-357423
293,216,1,11,3773,17.28,9,65197.44,225,96.28,PO-2025-644323
294,479,5,15,443,286.2,15,126786.6,494,91.39,PO-2024-532270
295,995,19,5,3415,286.57,26,978636.55,1021,93.54,PO-2025-377217
296,12,22,11,1397,345.46,5,482607.62,17,95.77,PO-2025-778688
297,453,11,14,4182,30.98,18,129558.36,471,86.11,PO-2023-605322
298,440,11,10,555,257.27,8,142784.85,448,88.12,PO-2024-975415
299,398,12,14,872,82.28,21,71748.16,419,94.07,PO-2025-486060
300,531,21,12,2124,129.65,27,275376.6,558,86.95,PO-2024-273902
301,1041,7,3,2276,135.93,9,309376.68,1050,96.43,PO-2025-719707
302,957,12,13,2582,130.35,25,336563.7,982,96.38,PO-2025-455985
303,188,14,10,122,221.92,28,27074.24,216,97.96,PO-2025-176100
304,152,4,6,3357,181.77,16,610201.89,168,94.94,PO-2023-711133
305,238,4,2,874,177.09,17,154776.66,255,89.11,PO-2024-620675
306,544,12,13,1008,164.43,21,165745.44,565,97.79,PO-2025-794848
307,815,8,5,273,121.3,20,33114.9,835,93.98,PO-2024-303696
308,916,14,8,4959,346.55,12,1718541.45,928,94.56,PO-2025-736334
309,111,17,13,3917,123.56,29,483984.52,140,89.82,PO-2024-485781
310,111,8,3,4109,11.6,13,47664.4,124,97.3,PO-2025-407182
311,130,22,2,115,322.53,7,37090.95,137,88.4,PO-2024-431327
312,1005,11,7,1809,103.59,9,187394.31,1014,88.73,PO-2024-793753
313,233,5,7,2939,263.15,8,773397.85,241,92.86,PO-2024-281794
314,471,5,13,1596,265.37,19,423530.52,490,90.11,PO-2024-795331
315,111,14,13,2335,14.54,17,33950.9,128,98.4,PO-2025-118660
316,24,5,13,3616,191.73,11,693295.68,35,94.55,PO-2024-865479
317,226,5,9,3943,29.35,8,115727.05,234,87.04,PO-2025-257703
318,739,17,1,4268,21.0,15,89628.0,754,96.94,PO-2025-500590
319,803,19,3,3913,302.11,29,1182156.43,832,98.31,PO-2025-879401
320,12,11,10,1901,12.0,20,22812.0,32,96.65,PO-2023-247386
321,231,11,8,770,137.82,28,106121.4,259,91.26,PO-2023-816928
322,229,18,11,1167,347.38,19,405392.46,248,85.47,PO-2024-978446
323,270,2,1,208,346.06,10,71980.48,280,96.82,PO-2024-176244
324,449,22,1,2176,327.73,16,713140.48,465,89.05,PO-2025-484705
325,598,1,8,1260,222.7,16,280602.0,614,90.4,PO-2024-557634
326,183,4,1,3308,337.82,29,1117508.56,212,86.16,PO-2023-527360
327,574,3,7,2459,163.9,5,403030.1,579,85.39,PO-2025-744911
328,978,17,9,1708,184.92,5,315843.36,983,88.65,PO-2025-560930
329,560,21,10,1804,206.62,22,372742.48,582,86.58,PO-2023-309983
330,75,12,9,1054,164.92,7,173825.68,82,87.75,PO-2024-849225
331,752,18,13,1069,48.4,10,51739.6,762,93.53,PO-2024-238795
332,499,13,5,2020,283.72,17,573114.4,516,96.34,PO-2024-202044
333,434,2,10,1466,158.9,28,232947.4,462,85.39,PO-2024-705142
334,610,16,8,159,316.01,14,50245.59,624,98.49,PO-2025-143704
335,858,6,4,4953,229.87,23,1138546.11,881,92.66,PO-2025-950742
336,391,10,15,4424,104.94,26,464254.56,417,90.14,PO-2024-792939
337,347,18,7,499,262.18,11,130827.82,358,97.64,PO-2025-382791
338,1033,22,2,4004,278.63,22,1115634.52,1055,86.69,PO-2025-944479
339,265,19,11,388,154.76,14,60046.88,279,93.14,PO-2025-242335
340,269,4,8,2452,337.63,22,827868.76,291,97.12,PO-2023-636685
341,76,10,13,1851,260.66,26,482481.66,102,91.87,PO-2025-205404
342,375,17,1,969,275.17,7,266639.73,382,86.38,PO-2023-171113
343,464,22,14,2102,334.2,13,702488.4,477,86.86,PO-2025-127896
344,207,18,6,2127,181.93,12,386965.11,219,86.98,PO-2024-646501
345,488,4,15,3734,200.11,5,747210.74,493,94.99,PO-2024-588049
346,77,12,14,1927,64.49,23,124272.23,100,92.62,PO-2025-531270
347,289,15,3,4218,126.28,13,532649.04,302,85.37,PO-2025-601358
348,378,10,2,1204,62.5,13,75250.0,391,87.6,PO-2025-474534
349,863,5,10,4970,47.32,8,235180.4,871,85.17,PO-2025-654880
350,613,12,2,377,153.41,15,57835.57,628,87.99,PO-2024-439224
351,852,19,9,4247,26.14,14,111016.58,866,88.0,PO-2024-377259
352,850,13,11,3828,339.55,10,1299797.4,860,88.94,PO-2025-973980
353,382,13,3,4743,125.53,20,595388.79,402,93.66,PO-2023-114353
354,927,9,10,1539,65.34,5,100558.26,932,90.16,PO-2023-389472
355,47,8,10,1929,40.73,10,78568.17,57,88.15,PO-2025-310490
356,574,18,13,2154,304.73,28,656388.42,602,91.91,PO-2023-127782
357,320,17,5,1539,219.63,7,338010.57,327,94.4,PO-2023-989124
358,637,16,14,3214,291.86,9,938038.04,646,96.8,PO-2025-644201
359,939,7,5,1677,284.61,8,477290.97,947,85.67,PO-2024-427612
360,982,20,11,4674,315.26,19,1473525.24,1001,89.61,PO-2024-567057
361,1060,13,2,1298,52.34,25,67937.32,1085,93.87,PO-2023-298406
362,68,20,9,4954,151.28,9,749441.12,77,93.53,PO-2023-878882
363,740,21,13,1870,309.58,9,578914.6,749,95.01,PO-2024-713756
364,854,4,11,939,247.07,9,231998.73,863,88.26,PO-2023-460025
365,448,8,5,2268,132.45,19,300396.6,467,95.07,PO-2024-381030
366,60,7,7,3155,343.56,18,1083931.8,78,93.39,PO-2024-659643
367,249,8,15,2621,217.23,27,569359.83,276,95.61,PO-2025-494993
368,983,13,13,1412,211.39,16,298482.68,999,96.61,PO-2023-226900
369,753,9,15,1656,337.07,9,558187.92,762,98.21,PO-2024-743530
370,970,7,6,540,168.11,8,90779.4,978,98.53,PO-2023-480203
371,650,9,9,3072,304.08,8,934133.76,658,97.65,PO-2023-751237
372,10,7,13,3975,263.37,17,1046895.75,27,98.86,PO-2024-815443
373,38,9,4,3178,281.37,22,894193.86,60,94.28,PO-2025-201446
374,934,7,12,3921,332.34,8,1303105.14,942,92.88,PO-2024-263209
