shipment_id,ship_date_key,delivery_date_key,product_id,facility_id,customer_id,quantity,carrier,status,shipping_cost,total_weight_kg,tracking_number,delay_reason
51,50,412,20,6,76,55,FedEx,Delivered,348.72,25.57,FDX8419713227,
52,809,131,17,1,78,270,DHL,Delivered,1255.79,132.02,DHL4136310957,
53,693,492,18,3,75,230,FedEx,Delivered,725.81,68.72,FDX7973334860,
54,943,750,4,8,26,60,DHL,Delivered,315.92,26.89,DHL3803758481,
55,453,1058,12,5,60,374,FedEx,In Transit,2231.93,153.54,FDX5401658583,
56,74,444,18,8,5,268,UPS,Delivered,1141.37,70.58,UPS1Z9757777302,
57,740,421,6,1,27,72,BlueDart,Delivered,562.73,13.35,BD9240117237,
58,984,270,2,6,34,369,DHL,Delivered,917.52,54.03,DHL2873460262,
59,938,305,3,4,46,38,UPS,In Transit,230.79,13.07,UPS1Z6296855449,
60,482,804,15,8,27,365,Maersk,Delivered,1831.87,40.95,MAE8564289466,
61,263,1067,6,4,40,322,FedEx,Out for Delivery,1118.29,155.28,FDX6680761248,
62,895,136,5,7,28,295,UPS,In Transit,1267.19,91.27,UPS1Z4387150924,
63,672,1086,12,6,69,292,FedEx,Delivered,1997.17,141.52,FDX2007229076,
64,564,459,5,8,6,338,FedEx,In Transit,2654.62,127.14,FDX2219413947,
65,880,6,22,2,1,31,Maersk,In Transit,198.39,9.37,MAE3736711802,
66,664,287,16,8,47,35,UPS,Delivered,222.4,7.73,UPS1Z1605769625,
67,28,845,18,6,53,456,UPS,Delivered,3615.84,79.64,UPS1Z1196718845,
68,1043,47,20,8,8,348,UPS,Delayed,1800.08,71.08,UPS1Z4722446731,Carrier Capacity
69,1003,689,22,3,80,63,DHL,Out for Delivery,466.53,29.51,DHL6865380142,
70,718,896,9,8,69,155,Maersk,Delivered,1054.81,33.51,MAE5998588733,
71,1077,390,1,3,33,98,FedEx,Delivered,649.33,24,FDX6546013080,
72,735,232,8,6,41,308,FedEx,Out for Delivery,888.36,85.75,FDX8844347221,
73,322,1018,15,2,57,359,UPS,In Transit,845.7,95.47,UPS1Z7178464628,
74,143,345,20,1,58,122,FedEx,Out for Delivery,440.45,29.76,FDX7911700894,
75,218,308,17,4,21,376,BlueDart,Delivered,1776.79,60.47,BD8000173025,
76,294,376,11,4,19,430,DHL,Delivered,1910.93,188.77,DHL9829267391,
77,546,381,8,1,35,240,DHL,Delivered,1101.41,53.55,DHL5308007080,
78,1023,32,17,6,16,302,FedEx,Delayed,2268.58,97.58,FDX6848736282,Port Congestion
79,301,675,18,1,50,324,DHL,Pending Pickup,2443.03,46.58,DHL4239421034,
80,610,459,10,2,79,398,BlueDart,Delayed,1990.91,71.71,BD6707868357,Carrier Capacity
81,701,605,12,4,69,244,DHL,In Transit,993.8,85.3,DHL1839712324,
82,560,264,4,4,10,210,FedEx,In Transit,1270.96,26.63,FDX3500564068,
83,1021,468,10,3,27,338,FedEx,Exception,1106.37,39.72,FDX8379656464,Logistics Issue
84,955,668,7,4,11,477,DHL,Delivered,2733.54,57.96,DHL3806885826,
85,576,180,16,4,25,250,UPS,Delivered,1503.4,55.61,UPS1Z9665952843,
86,807,972,8,6,40,450,UPS,Delivered,1227.17,119.66,UPS1Z6044566189,
87,279,618,15,6,1,66,FedEx,Delivered,324.98,22.44,FDX2347267280,
88,1043,224,5,4,67,479,FedEx,Delivered,1147.69,235.63,FDX8344968300,
89,319,916,10,2,31,136,FedEx,Exception,284.37,62.81,FDX7554326942,Incorrect Address
90,576,408,2,7,20,371,UPS,Delivered,1284.3,141.32,UPS1Z4677962426,
91,819,10,22,6,17,297,UPS,Out for Delivery,1522.17,30.86,UPS1Z2599940400,
92,164,48,6,7,33,452,BlueDart,Returned,2598.2,49.22,BD9992269221,Weather Delay
93,396,443,12,6,35,159,FedEx,Delivered,850.38,35.53,FDX8697935581,
94,479,102,15,4,28,424,BlueDart,In Transit,2647.88,65.22,BD1845832608,
95,535,905,2,3,19,355,DHL,In Transit,2557.97,167.14,DHL5459145647,
96,157,216,10,6,21,118,BlueDart,Delivered,497.63,36.5,BD2100855231,
97,182,711,3,7,5,459,Maersk,In Transit,963.12,176.19,MAE4156560327,
98,79,744,21,2,10,486,BlueDart,Delivered,1430.26,115.54,BD5688882051,
99,222,61,19,1,18,131,BlueDart,Returned,626.57,65.31,BD4937427893,Logistics Issue
100,109,252,13,3,30,417,UPS,In Transit,836,204.07,UPS1Z8387851963,
101,107,649,16,1,8,444,DHL,Delayed,2987.36,215.38,DHL4892471375,Customs Clearance
102,813,1069,5,6,49,236,FedEx,Delivered,951.76,32.99,FDX3326020222,
103,676,1096,8,6,49,166,BlueDart,In Transit,871.28,73.24,BD4992899344,
104,833,1010,11,1,38,265,DHL,Out for Delivery,2098.47,103.39,DHL2400013517,
105,85,1030,12,6,41,215,UPS,Delayed,680.11,88.65,UPS1Z4394288264,Weather Delay
106,451,860,15,5,45,326,UPS,In Transit,1666.14,75.85,UPS1Z8492510735,
107,948,49,9,4,27,466,FedEx,Returned,3610.98,69.2,FDX2852915631,Incorrect Address
108,50,2,10,3,52,130,Maersk,Delivered,309.14,56.13,MAE1432015206,
109,757,889,10,5,74,61,DHL,Delivered,252.89,12.19,DHL5842552314,
110,282,470,17,3,49,361,Maersk,Delivered,1545.66,137.34,MAE5638579489,
111,663,735,17,7,36,454,Maersk,In Transit,2528.16,95.99,MAE4849239726,
112,296,1079,9,2,72,179,DHL,Delivered,540.03,83.52,DHL4944262733,
113,831,85,17,4,57,399,DHL,Delivered,834.63,158.8,DHL5145942496,
114,252,844,20,8,7,432,BlueDart,Delivered,1690.23,68.35,BD4566645206,
115,455,90,8,3,11,32,FedEx,Delayed,157.39,4.8,FDX5717718337,Port Congestion
116,58,662,12,5,61,179,FedEx,Out for Delivery,1017.68,86.96,FDX5694054914,
117,951,84,17,4,39,30,FedEx,In Transit,128.06,13.43,FDX5163877837,
118,1080,279,2,6,78,152,UPS,Exception,1054.71,38.7,UPS1Z9901493414,Logistics Issue
119,5,878,10,7,19,111,Maersk,Delayed,784.86,23.13,MAE6404673750,Logistics Issue
120,216,439,1,4,59,331,Maersk,Pending Pickup,2048.48,54.42,MAE6419916127,
121,301,884,6,5,67,484,Maersk,Delivered,3117.55,137.27,MAE4458749755,
122,1015,151,9,7,8,144,BlueDart,In Transit,1003.74,54.49,BD6438415250,
123,842,1065,3,2,12,119,DHL,Delivered,617.81,58.41,DHL3039397040,
124,874,114,7,1,63,424,Maersk,In Transit,3209.76,45.82,MAE1107455940,
125,103,984,6,1,57,266,BlueDart,Delivered,741.21,117.62,BD3065728125,
126,884,76,21,1,56,296,FedEx,Pending Pickup,867.16,143.41,FDX3689131831,
127,296,1003,19,7,75,242,UPS,Pending Pickup,915.7,108.98,UPS1Z5662753279,
128,570,440,11,2,66,92,UPS,Delivered,635.29,41.26,UPS1Z2372827706,
129,704,1014,11,1,59,215,FedEx,Delivered,1560.11,94.09,FDX4181043656,
130,793,402,15,7,76,404,FedEx,Delivered,3156.44,168.13,FDX1980884160,
131,1082,447,15,6,42,390,FedEx,Delivered,839.99,143.52,FDX6796724237,
132,725,819,8,6,40,328,BlueDart,Delivered,2290.84,45.93,BD5532404193,
133,203,606,17,7,52,345,UPS,In Transit,1808.71,122.99,UPS1Z9057190392,
134,305,629,13,7,60,357,DHL,Delivered,2630.75,106.51,DHL3382561804,
135,119,11,7,1,47,177,UPS,Delayed,460.81,72.55,UPS1Z7071919660,Carrier Capacity
136,693,862,4,6,66,41,DHL,Out for Delivery,323.59,20.13,DHL9351808485,
137,671,1007,17,8,15,127,FedEx,Delivered,584.02,59.83,FDX5572411040,
138,958,817,10,8,24,293,DHL,Delayed,1284.96,113.61,DHL4408148183,Weather Delay
139,800,481,12,1,20,29,Maersk,Delivered,211.13,11.73,MAE6812399577,
140,176,427,5,5,76,460,FedEx,Delivered,1882.33,212.7,FDX2235752161,
141,666,521,10,7,71,288,DHL,Delivered,682.68,67.96,DHL4330298390,
142,159,760,13,2,53,404,FedEx,In Transit,3216.9,143.61,FDX6763812368,
143,917,714,19,6,26,261,Maersk,Exception,849.22,56.46,MAE7210217610,Weather Delay
144,126,513,12,8,75,14,BlueDart,In Transit,44.97,5.98,BD1118779851,
145,719,980,1,4,58,246,FedEx,Out for Delivery,1355.59,45.93,FDX3788465845,
146,234,497,6,6,22,294,DHL,Delivered,1620.19,102.48,DHL6628868374,
147,821,744,19,6,52,328,BlueDart,Delivered,1445.16,92.88,BD5993704480,
148,505,628,21,7,53,232,UPS,In Transit,913.84,41.8,UPS1Z6804268139,
149,168,268,16,1,41,185,FedEx,In Transit,395.29,88.07,FDX1563683414,
150,759,1084,9,7,73,360,UPS,Delivered,1613.59,53.13,UPS1Z1867259239,
151,1042,669,12,1,62,173,BlueDart,Delivered,1276.59,50.52,BD3206441648,
152,403,880,1,5,57,149,DHL,Delivered,495.94,63.28,DHL5806365516,
153,401,544,22,5,78,498,DHL,In Transit,3236.31,246.89,DHL8422657121,
154,328,130,21,5,56,260,UPS,In Transit,1325.59,29.01,UPS1Z2248684312,
155,806,334,4,6,6,31,BlueDart,Delivered,215.42,14.31,BD3065974253,
156,800,612,11,8,20,467,DHL,Delivered,1440.15,212.49,DHL5824423453,
157,482,228,9,8,19,10,UPS,In Transit,66.06,2.92,UPS1Z5455646089,
158,231,717,14,2,40,130,BlueDart,Delivered,840.32,54.64,BD6606319566,
159,143,138,22,8,49,206,BlueDart,Delayed,714.33,43.69,BD6787809642,Carrier Capacity
160,610,1088,15,5,27,226,UPS,In Transit,682.83,69.36,UPS1Z9922574199,
161,873,248,11,3,13,28,FedEx,Delivered,68.49,6.92,FDX6066439472,
162,27,286,16,7,29,208,BlueDart,Delivered,1601.19,74.34,BD3753279579,
163,260,483,15,2,60,87,DHL,Delivered,586.85,16.17,DHL1875648617,
164,623,1069,13,2,42,23,FedEx,Delayed,129.86,7.31,FDX6272877583,Incorrect Address
165,643,283,8,3,45,298,DHL,In Transit,1135.21,40.29,DHL5278270426,
166,484,237,21,8,24,113,UPS,Delivered,709.85,49.45,UPS1Z4590564943,
167,46,40,16,4,19,234,UPS,Delivered,806.62,96.64,UPS1Z7517271143,
168,1041,123,10,4,24,401,BlueDart,Delayed,2236.9,199.34,BD5766402069,Carrier Capacity
169,1023,262,2,8,41,294,FedEx,Delivered,1566.21,101.34,FDX9053558210,
170,704,857,12,3,9,459,FedEx,Delivered,2551.59,129.26,FDX1826975861,
171,258,803,2,3,57,82,UPS,Out for Delivery,238.26,28.96,UPS1Z9657364623,
172,122,530,3,1,35,130,Maersk,In Transit,752.97,17.56,MAE6271156368,
173,441,669,8,7,74,414,UPS,Delivered,3001.24,87.68,UPS1Z7429519735,
174,559,94,6,1,57,16,UPS,Delivered,51.59,3.7,UPS1Z4997045297,
175,61,901,18,8,75,66,UPS,Delivered,439.14,21.76,UPS1Z9848160231,
176,355,1023,2,1,41,326,DHL,Delivered,1859.05,79.61,DHL2038082351,
177,123,307,6,2,33,104,Maersk,Out for Delivery,278.76,15.8,MAE8327320584,
178,951,286,6,1,31,425,Maersk,Delivered,2474.02,125.93,MAE6799317712,
179,18,141,9,6,75,499,FedEx,Delivered,3369.34,240.27,FDX3357938210,
180,916,664,22,8,19,312,FedEx,Delivered,1159.45,91.52,FDX9134804796,
181,915,1070,6,3,29,385,BlueDart,Out for Delivery,1037.16,159.71,BD6860214499,
182,343,501,7,1,38,54,FedEx,In Transit,163.08,11.12,FDX3419519498,
183,723,41,13,6,45,349,FedEx,In Transit,2158.32,42.37,FDX6722883514,
184,358,217,2,3,33,209,DHL,Pending Pickup,1269.33,33.47,DHL1407941037,
185,677,429,7,3,67,85,FedEx,Delivered,660.57,12.06,FDX5971023479,
186,925,51,17,4,39,402,DHL,Delivered,1605.64,87.6,DHL4517662928,
187,18,49,15,1,42,210,DHL,In Transit,1345.09,72.48,DHL4030192327,
188,898,419,11,2,73,358,DHL,Out for Delivery,1087.41,143.19,DHL3432271260,
189,16,661,10,4,47,182,Maersk,In Transit,565.77,40.89,MAE6737067546,
190,327,193,13,5,30,48,FedEx,Delayed,225.92,23.7,FDX8494436002,Carrier Capacity
191,394,660,20,1,9,116,Maersk,Delivered,325.95,18.38,MAE4000868943,
192,102,282,20,1,57,354,DHL,Delayed,1832.19,95.11,DHL5397706361,Customs Clearance
193,195,382,22,7,23,122,UPS,Delivered,560.69,25.9,UPS1Z5975450940,
194,260,379,15,2,58,282,BlueDart,Exception,917.06,133.32,BD6885477644,Port Congestion
195,649,973,4,4,33,458,DHL,Delayed,3519.42,182.74,DHL6785841933,Logistics Issue
196,1070,1019,13,3,1,207,BlueDart,Out for Delivery,604.38,35.42,BD4677715266,
197,468,28,5,6,26,385,Maersk,Delivered,1569.2,58.47,MAE6821902344,
198,412,343,17,7,8,381,DHL,Delivered,1704.93,62.06,DHL3489671845,
199,313,475,10,3,38,231,DHL,Returned,590.49,57.12,DHL4619388389,Weather Delay
200,1014,812,13,3,75,264,FedEx,Delivered,803.1,28.41,FDX2007897732,
201,277,513,12,3,59,241,UPS,Exception,1082.61,78.28,UPS1Z4602001160,Logistics Issue
202,949,191,5,8,16,298,UPS,Delivered,2267.77,86.01,UPS1Z3869820670,
203,76,379,22,2,3,357,FedEx,Out for Delivery,890.17,139.67,FDX3809859688,
204,320,476,22,1,29,199,FedEx,Delivered,1415.45,88.88,FDX7276123321,
205,18,1073,19,3,2,160,FedEx,Delivered,1035.84,59.95,FDX6420250891,
206,628,851,19,8,75,483,UPS,Delivered,2768.15,231.04,UPS1Z6141033948,
207,562,421,16,1,45,195,FedEx,In Transit,1375.8,81.36,FDX9684060943,
208,546,152,7,3,80,134,Maersk,In Transit,890.89,32.78,MAE8635037495,
209,724,62,2,4,5,481,FedEx,Delayed,1949.39,220.81,FDX6004362195,Carrier Capacity
210,181,1078,7,4,2,383,FedEx,In Transit,2488.8,146.48,FDX2881364970,
211,587,757,18,3,17,435,UPS,Out for Delivery,2409.14,209.09,UPS1Z5387889340,
212,35,273,20,2,33,387,Maersk,Delivered,2126.83,51.69,MAE9915432968,
213,908,169,2,3,16,105,UPS,Delivered,214.09,32.47,UPS1Z4918836967,
214,412,199,12,8,70,427,DHL,Out for Delivery,2585.14,167.47,DHL3848842483,
215,594,640,20,7,23,48,DHL,Delivered,325.2,15.31,DHL6343682134,
216,468,1031,17,5,46,71,FedEx,Delivered,494.76,21.85,FDX9456885106,
217,1027,1001,16,6,77,198,FedEx,Delivered,1531.66,27.02,FDX3853992339,
218,755,718,2,2,76,10,DHL,Delayed,64.35,2.21,DHL1172747682,Incorrect Address
219,403,581,10,8,34,276,UPS,Delivered,1341.05,65.35,UPS1Z5915763493,
220,443,663,8,5,32,314,DHL,Delivered,1176.53,55.19,DHL2773644271,
221,270,194,7,2,50,267,DHL,Delivered,1653.11,102.6,DHL7792850201,
222,597,9,5,6,22,400,UPS,Delivered,1530.13,150.54,UPS1Z7079679765,
223,1020,590,1,2,77,439,Maersk,Delayed,934.77,63.95,MAE8737002946,Port Congestion
224,457,234,21,6,14,11,FedEx,Exception,59.29,2.64,FDX4137178219,Carrier Capacity
225,1022,843,14,4,71,497,DHL,Delivered,2983.42,242.83,DHL8918315463,
226,204,1066,7,7,16,108,UPS,Delivered,440.08,26.86,UPS1Z8342893545,
227,108,25,2,3,12,340,FedEx,Delivered,2303.09,83.42,FDX7034246262,
228,377,630,12,3,68,374,Maersk,Out for Delivery,1674.49,102.64,MAE9637021044,
229,1048,688,13,3,30,205,DHL,Delivered,1111.47,72.85,DHL9970852485,
230,27,68,3,3,78,265,Maersk,In Transit,1304.12,48.43,MAE8934479912,
231,576,222,19,6,44,187,FedEx,Exception,994.6,89.24,FDX8152967049,Incorrect Address
232,589,884,18,5,57,45,DHL,Delayed,249.57,15.12,DHL8809549266,Weather Delay
233,746,313,11,7,35,337,DHL,Delivered,1099.71,87.41,DHL7582815848,
234,265,974,19,3,3,252,DHL,Out for Delivery,2005.04,64.33,DHL5581834300,
235,752,205,13,3,3,174,UPS,Delivered,1109.55,82.72,UPS1Z6848761837,
236,751,605,8,4,34,193,UPS,In Transit,650.56,82.86,UPS1Z1429641411,
237,732,1042,4,5,54,101,FedEx,In Transit,522.09,48.36,FDX9671410251,
238,499,37,4,7,71,218,BlueDart,In Transit,1007.42,26.39,BD7708201294,
239,939,520,14,6,40,357,UPS,Delivered,926.2,168.23,UPS1Z9009902960,
240,233,852,6,5,75,435,UPS,Delivered,1585.33,91.52,UPS1Z9174216105,
241,1043,134,20,1,2,128,UPS,Delivered,880.62,54.68,UPS1Z1646412008,
242,41,401,7,3,16,125,UPS,Delivered,914.21,17.09,UPS1Z7088182355,
243,578,535,5,8,1,33,DHL,Exception,100.42,8.59,DHL2708391513,Carrier Capacity
244,528,368,11,4,64,133,UPS,Delivered,1018.16,41.62,UPS1Z5123755238,
245,220,138,22,3,19,404,UPS,In Transit,2515.57,41,UPS1Z7513625060,
246,590,569,3,3,18,261,DHL,Delayed,1884.91,120.9,DHL4157253192,Incorrect Address
247,207,33,1,8,22,269,FedEx,Delayed,1947.52,33.01,FDX2636626152,Weather Delay
248,810,392,5,4,49,422,Maersk,In Transit,887.05,126.38,MAE5341214973,
249,390,1055,6,2,63,462,UPS,Pending Pickup,1609.31,230.29,UPS1Z9410806034,
250,991,951,9,1,25,384,DHL,Out for Delivery,1927.65,72.82,DHL3304219900,
251,392,822,18,4,23,230,BlueDart,Delivered,1242.82,53.81,BD8356881365,
252,163,886,15,5,79,361,FedEx,Delayed,2800.17,160.59,FDX5391567047,Carrier Capacity
253,791,153,8,5,17,464,UPS,In Transit,1570.3,90.88,UPS1Z4015002414,
254,395,780,10,1,29,103,DHL,Delayed,581.3,47.16,DHL1648273962,Incorrect Address
255,855,678,1,8,63,270,FedEx,Delivered,930.93,56.92,FDX3758050452,
256,170,919,18,1,8,109,DHL,Returned,323.08,35.93,DHL6607490800,Incorrect Address
257,145,975,22,5,36,318,Maersk,Delivered,762.16,82.79,MAE2874998881,
258,241,529,16,5,80,129,BlueDart,Delivered,800.69,58.62,BD2879923983,
259,517,840,20,3,74,260,DHL,Delivered,1705.38,123.98,DHL1006851268,
260,683,966,6,6,64,25,DHL,In Transit,178.49,5.42,DHL7742824335,
261,824,346,19,6,38,499,BlueDart,In Transit,2920.78,143.21,BD8570112693,
262,776,596,20,5,7,403,FedEx,Delivered,2940.27,95.81,FDX7208304271,
263,1086,284,18,4,39,371,BlueDart,In Transit,2419.62,147.18,BD3266457884,
264,635,620,9,5,8,463,BlueDart,Delivered,2506.15,119.39,BD2482104548,
265,1076,12,19,8,8,273,UPS,In Transit,1694.76,72.77,UPS1Z7891742196,
266,184,75,14,8,28,242,BlueDart,Out for Delivery,1602.59,73.59,BD6102921181,
267,478,499,18,3,27,248,DHL,Delayed,1879.39,117.16,DHL8514838333,Port Congestion
268,114,289,8,2,62,165,UPS,Delivered,1309.2,30.05,UPS1Z2675923126,
269,567,575,14,5,36,243,FedEx,Out for Delivery,1876.59,91.1,FDX7776541472,
270,428,190,6,6,31,34,DHL,Delivered,90.65,8.22,DHL4190462627,
271,63,272,14,1,41,151,BlueDart,In Transit,1104.53,70.51,BD8762462147,
272,709,506,1,3,29,35,BlueDart,Delivered,103.45,8.42,BD3303491740,
273,22,648,11,2,17,400,BlueDart,Delayed,2593.02,169.77,BD6254883640,Weather Delay
274,301,187,17,5,65,353,UPS,Returned,856.79,155.49,UPS1Z1661379029,Incorrect Address
275,454,597,17,5,76,315,UPS,Delivered,1239.93,89.83,UPS1Z3122524496,
276,311,417,15,6,34,48,DHL,Delivered,217.63,22.92,DHL1146688961,
277,1081,684,9,4,17,345,BlueDart,In Transit,822.15,106.16,BD2123902499,
278,31,317,1,8,56,97,Maersk,Delivered,360.17,30.28,MAE4531934169,
279,499,911,11,3,40,412,FedEx,Out for Delivery,2939.81,80.52,FDX8231387563,
280,220,67,11,2,72,200,BlueDart,Delayed,542.62,79.06,BD4116376280,Incorrect Address
281,1000,1027,9,4,58,457,FedEx,Delivered,2638.01,108.54,FDX6675789197,
282,1051,741,1,8,10,474,FedEx,Delayed,1397.14,214.5,FDX1209061825,Logistics Issue
283,153,594,10,4,1,77,FedEx,In Transit,555.53,21.86,FDX8758665231,
284,1063,557,19,7,46,466,DHL,Delivered,2539.58,158.19,DHL6871522540,
285,449,508,16,7,65,124,DHL,In Transit,803.84,20.27,DHL6210792974,
286,71,418,16,1,38,140,FedEx,Delivered,1045.42,19.54,FDX3939947432,
287,802,1091,18,1,66,313,FedEx,Delivered,2110.48,138.34,FDX6250944679,
288,961,378,14,5,64,335,Maersk,Out for Delivery,1215.94,91.11,MAE3340112723,
289,270,332,6,5,17,320,DHL,Delivered,1962.55,80.66,DHL9840184224,
290,760,640,1,7,52,107,UPS,Pending Pickup,519.11,22.99,UPS1Z8315516237,
291,590,272,21,3,35,225,UPS,Delivered,1430.11,61.27,UPS1Z2845169409,
292,375,632,19,2,50,45,UPS,In Transit,91.41,18.09,UPS1Z4828204704,
293,286,238,11,7,18,237,FedEx,Delivered,1479.6,83.91,FDX6211189720,
294,1089,336,14,3,1,28,FedEx,Out for Delivery,130.1,3.6,FDX4905809714,
295,713,342,22,2,61,152,BlueDart,In Transit,314.31,17.83,BD7175845682,
296,182,682,18,5,21,265,UPS,Delayed,996.14,104.73,UPS1Z4083905033,Customs Clearance
297,59,595,22,1,36,292,Maersk,Delayed,1902.84,137.84,MAE2051088491,Logistics Issue
298,431,1075,9,3,15,441,DHL,In Transit,2377.01,99.42,DHL1807988064,
299,925,838,13,1,2,10,FedEx,In Transit,23.54,2.26,FDX6678664282,
300,767,403,17,1,65,314,UPS,Delivered,710.75,105.83,UPS1Z6395843359,
301,834,182,13,4,33,465,DHL,In Transit,1202.34,220.54,DHL6928040766,
302,3,954,11,5,9,239,UPS,Pending Pickup,1668.18,35.35,UPS1Z9564459479,
303,744,1009,21,4,66,330,DHL,Delivered,1247.5,153.4,DHL4865563686,
304,480,962,6,8,61,112,UPS,Delivered,247.06,35.33,UPS1Z6363070326,
305,639,820,5,5,29,458,DHL,Delivered,2295.09,103.37,DHL2318704314,
306,640,788,19,4,25,471,FedEx,Delivered,2327.82,50.41,FDX5327822048,
307,542,1084,19,4,39,288,DHL,Delivered,1356.73,63.49,DHL1437677158,
308,306,167,6,1,60,117,DHL,Delayed,449.53,40.16,DHL9633892784,Logistics Issue
309,302,441,9,2,22,440,FedEx,Delivered,2100.53,167.38,FDX2327067757,
310,963,925,7,5,31,282,UPS,Delivered,2119.82,111.01,UPS1Z5191398443,
311,361,527,7,3,10,269,Maersk,Delivered,1973.13,45.18,MAE4409658005,
312,921,636,21,6,4,212,UPS,Delivered,657.41,94.43,UPS1Z3758238543,
313,97,760,22,3,70,334,DHL,Delayed,1708.74,132.95,DHL8171275215,Weather Delay
314,983,60,20,5,20,331,FedEx,Exception,1821.82,121.62,FDX9878356109,Logistics Issue
315,38,651,16,7,58,42,BlueDart,Out for Delivery,137.96,12.68,BD3841284341,
316,978,743,2,8,80,459,FedEx,Delivered,2171.17,123.39,FDX5200539710,
317,674,140,17,5,29,10,Maersk,Delayed,31.34,1.51,MAE3660873869,Weather Delay
318,449,329,17,7,39,391,DHL,Delivered,2668.37,52.62,DHL9577624808,
